Tamanho do Cache | Total Hits | Total Misses | HitRatio
LFU
10|51561|98439|34,37
100|51859|98141|34,57
1000|54203|95797|36,14
10000|70163|79837|46,78
20000|79209|70791|52,81
30000|83359|66641|55,57
40000|85441|64559|56,96
50000|85441|64559|56,96
100000|85441|64559|56,96
LRU
10|51543|98457|34,36
100|58774|91226|39,18
1000|69895|80105|46,60
10000|75967|74033|50,64
20000|76670|73330|51,11
30000|85441|64559|56,96
40000|85441|64559|56,96
50000|85441|64559|56,96
100000|85441|64559|56,96
FIFO
10|51543|98457|34,36
100|58407|91593|38,94
1000|69377|80623|46,25
10000|75742|74258|50,49
20000|76593|73407|51,06
30000|83714|66286|55,81
40000|84043|65957|56,03
50000|85318|64682|56,88
100000|85441|64559|56,96
